"nom","p_code","reg_code",
"1er Arrondissement","MDG11101001","MDG11",
"2e Arrondissement","MDG11101002","MDG11","2e ArrondissementMDG11"
"3e Arrondissement","MDG11101003","MDG11","3e ArrondissementMDG11"
"4e Arrondissement","MDG11101004","MDG11","4e ArrondissementMDG11"
"5e Arrondissement","MDG11101005","MDG11","5e ArrondissementMDG11"
"6e Arrondissement","MDG11101006","MDG11","6e ArrondissementMDG11"
"Alakamisy","MDG11107170","MDG11","AlakamisyMDG11"
"Alakamisy Fenoarivo","MDG11117312","MDG11","Alakamisy FenoarivoMDG11"
"Alarobia","MDG11106090","MDG11","AlarobiaMDG11"
"Alarobia Vatosola","MDG11115110","MDG11","Alarobia VatosolaMDG11"
"Alasora","MDG11102010","MDG11","AlasoraMDG11"
"Alatsinainy Ambazaha","MDG11117250","MDG11","Alatsinainy AmbazahaMDG11"
"Alatsinainy Bakaro","MDG11115071","MDG11","Alatsinainy BakaroMDG11"
"Ambalavao","MDG11117450","MDG11","AmbalavaoMDG11"
"Ambanitsena","MDG11106210","MDG11","AmbanitsenaMDG11"
"Ambato","MDG11103390","MDG11","AmbatoMDG11"
"Ambatofahavalo","MDG11117470","MDG11","AmbatofahavaloMDG11"
"Ambatolampy","MDG11103172","MDG11","AmbatolampyMDG11"
"Ambatolaona","MDG11106012","MDG11","AmbatolaonaMDG11"
"Ambatomanga","MDG11106070","MDG11","AmbatomangaMDG11"
"Ambatomanoina","MDG11107230","MDG11","AmbatomanoinaMDG11"
"Ambatomena","MDG11106251","MDG11","AmbatomenaMDG11"
"Ambavahaditokana","MDG11117130","MDG11","AmbavahaditokanaMDG11"
"Amboasary Nord","MDG11107270","MDG11","Amboasary NordMDG11"
"Ambohibao Sud","MDG11106252","MDG11","Ambohibao SudMDG11"
"Ambohibary","MDG11106050","MDG11","AmbohibaryMDG11"
"Ambohibary Vohilena","MDG11107310","MDG11","Ambohibary VohilenaMDG11"
"Ambohidrapeto","MDG11117050","MDG11","AmbohidrapetoMDG11"
"Ambohidratrimo","MDG11103010","MDG11","AmbohidratrimoMDG11"
"Ambohijanaka","MDG11117350","MDG11","AmbohijanakaMDG11"
"Ambohimalaza Miray","MDG11102230","MDG11","Ambohimalaza MirayMDG11"
"Ambohimanambola","MDG11102050","MDG11","AmbohimanambolaMDG11"
"Ambohimanarina Marovazaha","MDG11107130","MDG11","Ambohimanarina MarovazahaMDG11"
"Ambohimanga Rova","MDG11102319","MDG11","Ambohimanga RovaMDG11"
"Ambohimangakely","MDG11102099","MDG11","AmbohimangakelyMDG11"
"Ambohimanjaka","MDG11103270","MDG11","AmbohimanjakaMDG11"
"Ambohimiadana","MDG11115091","MDG11","AmbohimiadanaMDG11"
"Ambohimirary","MDG11107330","MDG11","AmbohimiraryMDG11"
"Ambohipihaonana","MDG11103370","MDG11","AmbohipihaonanaMDG11"
"Ambohitrandriamanitra","MDG11106230","MDG11","AmbohitrandriamanitraMDG11"
"Ambohitrimanjaka","MDG11103130","MDG11","AmbohitrimanjakaMDG11"
"Ambohitrolomahitsy","MDG11106371","MDG11","AmbohitrolomahitsyMDG11"
"Ambohitromby","MDG11104050","MDG11","AmbohitrombyMDG11"
"Ambohitrony","MDG11106290","MDG11","AmbohitronyMDG11"
"Ambohitseheno","MDG11106271","MDG11","AmbohitsehenoMDG11"
"Ambolotarakely","MDG11104170","MDG11","AmbolotarakelyMDG11"
"Ambongamarina","MDG11107099","MDG11","AmbongamarinaMDG11"
"Ampahitrosy","MDG11117370","MDG11","AmpahitrosyMDG11"
"Ampanefy","MDG11117270","MDG11","AmpanefyMDG11"
"Ampaneva","MDG11106372","MDG11","AmpanevaMDG11"
"Ampangabe","MDG11103190","MDG11","AmpangabeMDG11"
"Ampanotokana","MDG11103210","MDG11","AmpanotokanaMDG11"
"Amparatanjona","MDG11107250","MDG11","AmparatanjonaMDG11"
"Ampitatafika","MDG11117011","MDG11","AmpitatafikaMDG11"
"Analaroa","MDG11107190","MDG11","AnalaroaMDG11"
"Andoharanofotsy","MDG11117170","MDG11","AndoharanofotsyMDG11"
"Andohariana","MDG11115032","MDG11","AndoharianaMDG11"
"Andramasina","MDG11115010","MDG11","AndramasinaMDG11"
"Andranonahoatra","MDG11117030","MDG11","AndranonahoatraMDG11"
"Androhibe","MDG11117410","MDG11","AndrohibeMDG11"
"Androvakely","MDG11107290","MDG11","AndrovakelyMDG11"
"Anjanadoria","MDG11103410","MDG11","AnjanadoriaMDG11"
"Anjepy","MDG11106190","MDG11","AnjepyMDG11"
"Anjeva Gara","MDG11102390","MDG11","Anjeva GaraMDG11"
"Anjoma Betoho","MDG11106330","MDG11","Anjoma BetohoMDG11"
"Anjozorobe","MDG11107019","MDG11","AnjozorobeMDG11"
"Ankadikely Ilafy","MDG11102039","MDG11","Ankadikely IlafyMDG11"
"Ankadimanga","MDG11117290","MDG11","AnkadimangaMDG11"
"Ankadinandriana","MDG11102430","MDG11","AnkadinandrianaMDG11"
"Ankaraobato","MDG11117190","MDG11","AnkaraobatoMDG11"
"Ankazobe","MDG11104010","MDG11","AnkazobeMDG11"
"Ankazondandy","MDG11106351","MDG11","AnkazondandyMDG11"
"Anosiala","MDG11103030","MDG11","AnosialaMDG11"
"Anosibe Trimoloharano","MDG11115170","MDG11","Anosibe TrimoloharanoMDG11"
"Anosizato Andrefana","MDG11117012","MDG11","Anosizato AndrefanaMDG11"
"Antakavana","MDG11104190","MDG11","AntakavanaMDG11"
"Antanetibe","MDG11103350","MDG11","AntanetibeMDG11"
"Antanetibe","MDG11107211","MDG11","AntanetibeMDG11"
"Antanetikely","MDG11117230","MDG11","AntanetikelyMDG11"
"Antehiroka","MDG11103070","MDG11","AntehirokaMDG11"
"Antotohazo","MDG11104071","MDG11","AntotohazoMDG11"
"Antotohazo","MDG11115072","MDG11","AntotohazoMDG11"
"Antsahafilo","MDG11103252","MDG11","AntsahafiloMDG11"
"Antsahalalina","MDG11106272","MDG11","AntsahalalinaMDG11"
"Avaratsena","MDG11103430","MDG11","AvaratsenaMDG11"
"Belanitra","MDG11107212","MDG11","BelanitraMDG11"
"Bemasoandro","MDG11117070","MDG11","BemasoandroMDG11"
"Beronono","MDG11107370","MDG11","BerononoMDG11"
"Betatao","MDG11107150","MDG11","BetataoMDG11"
"Bongatsara","MDG11117390","MDG11","BongatsaraMDG11"
"Fenoarivo","MDG11117311","MDG11","FenoarivoMDG11"
"Fiadanana","MDG11103290","MDG11","FiadananaMDG11"
"Fiadanana","MDG11104130","MDG11","FiadananaMDG11"
"Fiaferana","MDG11102279","MDG11","FiaferanaMDG11"
"Fihaonana","MDG11104090","MDG11","FihaonanaMDG11"
"Fiombonana","MDG11117090","MDG11","FiombonanaMDG11"
"Fitsinjovana Bakaro","MDG11115130","MDG11","Fitsinjovana BakaroMDG11"
"Iarinarivo","MDG11103090","MDG11","IarinarivoMDG11"
"Itaosy","MDG11117110","MDG11","ItaosyMDG11"
"Ivato Aeroport","MDG11103112","MDG11","Ivato AeroportMDG11"
"Ivato Firaisana","MDG11103111","MDG11","Ivato FiraisanaMDG11"
"Kiangara","MDG11104210","MDG11","KiangaraMDG11"
"Mahabo","MDG11103310","MDG11","MahaboMDG11"
"Mahavelona","MDG11104110","MDG11","MahavelonaMDG11"
"Mahereza","MDG11103330","MDG11","MaherezaMDG11"
"Mahitsy","MDG11103150","MDG11","MahitsyMDG11"
"Manandriana","MDG11102210","MDG11","ManandrianaMDG11"
"Mananjara","MDG11103230","MDG11","MananjaraMDG11"
"Mandrosoa","MDG11115050","MDG11","MandrosoaMDG11"
"Mangamila","MDG11107070","MDG11","MangamilaMDG11"
"Manjakandriana","MDG11106011","MDG11","ManjakandrianaMDG11"
"Manjakavaradrano","MDG11103251","MDG11","ManjakavaradranoMDG11"
"Mantasoa","MDG11106110","MDG11","MantasoaMDG11"
"Marondry","MDG11104072","MDG11","MarondryMDG11"
"Marotsipoy","MDG11107350","MDG11","MarotsipoyMDG11"
"Masindray","MDG11102410","MDG11","MasindrayMDG11"
"Merikanjaka","MDG11106310","MDG11","MerikanjakaMDG11"
"Merimandroso","MDG11103171","MDG11","MerimandrosoMDG11"
"Miadanandriana","MDG11106150","MDG11","MiadanandrianaMDG11"
"Miantso","MDG11104230","MDG11","MiantsoMDG11"
"Nandihizana","MDG11106170","MDG11","NandihizanaMDG11"
"Ranovao","MDG11106130","MDG11","RanovaoMDG11"
"Sabotsy Ambohitromby","MDG11115031","MDG11","Sabotsy AmbohitrombyMDG11"
"Sabotsy Manjakavahoaka","MDG11115150","MDG11","Sabotsy ManjakavahoakaMDG11"
"Sabotsy Namehana","MDG11102079","MDG11","Sabotsy NamehanaMDG11"
"Sadabe","MDG11106390","MDG11","SadabeMDG11"
"Sambaina","MDG11106030","MDG11","SambainaMDG11"
"Soalandy","MDG11117210","MDG11","SoalandyMDG11"
"Soavina","MDG11117330","MDG11","SoavinaMDG11"
"Soavinandriana","MDG11106352","MDG11","SoavinandrianaMDG11"
"Talata Angavo","MDG11104030","MDG11","Talata AngavoMDG11"
"Talata Volonondry","MDG11102379","MDG11","Talata VolonondryMDG11"
"Talatamaty","MDG11103050","MDG11","TalatamatyMDG11"
"Tanjombato","MDG11117150","MDG11","TanjombatoMDG11"
"Tankafatra","MDG11115092","MDG11","TankafatraMDG11"
"Tsaramasoandro","MDG11104150","MDG11","TsaramasoandroMDG11"
"Tsarasaotra","MDG11107110","MDG11","TsarasaotraMDG11"
"Tsiafahy","MDG11117430","MDG11","TsiafahyMDG11"
"Viliahazo","MDG11102350","MDG11","ViliahazoMDG11"
"Alakamisy","MDG12118050","MDG12","AlakamisyMDG12"
"Alakamisy Anativato","MDG12109070","MDG12","Alakamisy AnativatoMDG12"
"Alakamisy Marososona","MDG12109230","MDG12","Alakamisy MarososonaMDG12"
"Alarobia Bemaha","MDG12109390","MDG12","Alarobia BemahaMDG12"
"Alatsinainy Ibity","MDG12118250","MDG12","Alatsinainy IbityMDG12"
"Ambano","MDG12118010","MDG12","AmbanoMDG12"
"Ambatolahy","MDG12114030","MDG12","AmbatolahyMDG12"
"Ambatolampy","MDG12110010","MDG12","AmbatolampyMDG12"
"Ambatomena","MDG12118310","MDG12","AmbatomenaMDG12"
"Ambatomiady","MDG12114079","MDG12","AmbatomiadyMDG12"
"Ambatondrakalavao","MDG12110090","MDG12","AmbatondrakalavaoMDG12"
"Ambatonikolahy","MDG12109170","MDG12","AmbatonikolahyMDG12"
"Ambatotsipihina","MDG12114150","MDG12","AmbatotsipihinaMDG12"
"Ambodifarihy Fenomanana","MDG12110190","MDG12","Ambodifarihy FenomananaMDG12"
"Ambodiriana","MDG12114230","MDG12","AmbodirianaMDG12"
"Ambohibary","MDG12118331","MDG12","AmbohibaryMDG12"
"Ambohiborona","MDG12116130","MDG12","AmbohiboronaMDG12"
"Ambohidranandriana","MDG12118130","MDG12","AmbohidranandrianaMDG12"
"Ambohimanambola","MDG12109250","MDG12","AmbohimanambolaMDG12"
"Ambohimandroso","MDG12114110","MDG12","AmbohimandrosoMDG12"
"Ambohimasina","MDG12109270","MDG12","AmbohimasinaMDG12"
"Ambohimiarivo","MDG12118150","MDG12","AmbohimiarivoMDG12"
"Ambohipihaonana","MDG12110050","MDG12","AmbohipihaonanaMDG12"
"Ambohitompoina","MDG12114171","MDG12","AmbohitompoinaMDG12"
"Ambohitsimanova","MDG12118170","MDG12","AmbohitsimanovaMDG12"
"Ampatana Mandriankeniheny","MDG12108002","MDG12","Ampatana MandriankenihenyMDG12"
"Ampitatafika","MDG12114050","MDG12","AmpitatafikaMDG12"
"Andranofito","MDG12114090","MDG12","AndranofitoMDG12"
"Andranomafana","MDG12109030","MDG12","AndranomafanaMDG12"
"Andranomanelatra","MDG12118110","MDG12","AndranomanelatraMDG12"
"Andranomiady","MDG12116090","MDG12","AndranomiadyMDG12"
"Andranovelona","MDG12110330","MDG12","AndranovelonaMDG12"
"Andravola Vohipeno","MDG12110150","MDG12","Andravola VohipenoMDG12"
"Andrembesoa","MDG12109490","MDG12","AndrembesoaMDG12"
"Andriambilany","MDG12110110","MDG12","AndriambilanyMDG12"
"Anjoma Ramartina","MDG12120070","MDG12","Anjoma RamartinaMDG12"
"Ankazomiriotra","MDG12120090","MDG12","AnkazomiriotraMDG12"
"Anosiarivo Manapa","MDG12109212","MDG12","Anosiarivo ManapaMDG12"
"Antakasina","MDG12110292","MDG12","AntakasinaMDG12"
"Antanamalaza","MDG12110291","MDG12","AntanamalazaMDG12"
"Antanambao","MDG12118370","MDG12","AntanambaoMDG12"
"Antanambao Ambary","MDG12120050","MDG12","Antanambao AmbaryMDG12"
"Antanifotsy","MDG12114010","MDG12","AntanifotsyMDG12"
"Antanimandry","MDG12118070","MDG12","AntanimandryMDG12"
"Antanimasaka","MDG12110230","MDG12","AntanimasakaMDG12"
"Antohobe","MDG12109190","MDG12","AntohobeMDG12"
"Antsahalava","MDG12114199","MDG12","AntsahalavaMDG12"
"Antsampandrano","MDG12110270","MDG12","AntsampandranoMDG12"
"Antsampandrano","MDG12114290","MDG12","AntsampandranoMDG12"
"Antsampanimahazo","MDG12116030","MDG12","AntsampanimahazoMDG12"
"Antsenakely Andraikiba","MDG12108001","MDG12","Antsenakely AndraikibaMDG12"
"Antsirabe Afovoany Atsinanana","MDG12108004","MDG12","Antsirabe Afovoany AtsinananaMDG12"
"Antsoatany","MDG12118230","MDG12","AntsoatanyMDG12"
"Antsoso","MDG12109090","MDG12","AntsosoMDG12"
"Behenjy","MDG12110250","MDG12","BehenjyMDG12"
"Belambo Firaisana","MDG12110130","MDG12","Belambo FiraisanaMDG12"
"Belanitra","MDG12114172","MDG12","BelanitraMDG12"
"Belazao","MDG12118030","MDG12","BelazaoMDG12"
"Betafo","MDG12109010","MDG12","BetafoMDG12"
"Betsohana","MDG12120030","MDG12","BetsohanaMDG12"
"Faratsiho","MDG12116010","MDG12","FaratsihoMDG12"
"Faravohitra","MDG12116050","MDG12","FaravohitraMDG12"
"Fidirana","MDG12120110","MDG12","FidiranaMDG12"
"Inanantonana","MDG12109290","MDG12","InanantonanaMDG12"
"Mahaiza","MDG12109211","MDG12","MahaizaMDG12"
"Mahazoarivo Avarabohitra","MDG12108006","MDG12","Mahazoarivo AvarabohitraMDG12"
"Manandona","MDG12118210","MDG12","ManandonaMDG12"
"Mandoto","MDG12120010","MDG12","MandotoMDG12"
"Mandritsara","MDG12109050","MDG12","MandritsaraMDG12"
"Mandrosohasina","MDG12118332","MDG12","MandrosohasinaMDG12"
"Mangarano","MDG12118190","MDG12","MangaranoMDG12"
"Manjakatompo","MDG12110070","MDG12","ManjakatompoMDG12"
"Manodidina Ny Gara Ambilombe","MDG12108005","MDG12","Manodidina Ny Gara AmbilombeMDG12"
"Manohisoa","MDG12109150","MDG12","ManohisoaMDG12"
"Miandrarivo","MDG12116150","MDG12","MiandrarivoMDG12"
"Morarano","MDG12110030","MDG12","MoraranoMDG12"
"Ramainandro","MDG12116070","MDG12","RamainandroMDG12"
"Sabotsy Namatoana","MDG12110210","MDG12","Sabotsy NamatoanaMDG12"
"Sahanivotry Manandona","MDG12118270","MDG12","Sahanivotry ManandonaMDG12"
"Soamalaza Mahatsinjo","MDG12108003","MDG12","Soamalaza MahatsinjoMDG12"
"Soanindrariny","MDG12118290","MDG12","SoanindrarinyMDG12"
"Soavina","MDG12109130","MDG12","SoavinaMDG12"
"Tritriva","MDG12109110","MDG12","TritrivaMDG12"
"Tsarahonenana Sahanivotry","MDG12118350","MDG12","Tsarahonenana SahanivotryMDG12"
"Tsiafajavona Ankaratra","MDG12110170","MDG12","Tsiafajavona AnkaratraMDG12"
"Tsinjoarivo","MDG12110310","MDG12","TsinjoarivoMDG12"
"Valabetokana","MDG12116170","MDG12","ValabetokanaMDG12"
"Vasiana","MDG12120130","MDG12","VasianaMDG12"
"Vinaninkarena","MDG12118090","MDG12","VinaninkarenaMDG12"
"Vinaninony Atsimo","MDG12116110","MDG12","Vinaninony AtsimoMDG12"
"Vinany","MDG12120150","MDG12","VinanyMDG12"
"Alakamisikely","MDG13105213","MDG13","AlakamisikelyMDG13"
"Alatsinainikely","MDG13112112","MDG13","AlatsinainikelyMDG13"
"Ambatoasana Centre","MDG13113210","MDG13","Ambatoasana CentreMDG13"
"Ambatomanga","MDG13105190","MDG13","AmbatomangaMDG13"
"Ambatomanjaka","MDG13112050","MDG13","AmbatomanjakaMDG13"
"Ambatomirahavavy","MDG13105170","MDG13","AmbatomirahavavyMDG13"
"Amberomanga","MDG13113132","MDG13","AmberomangaMDG13"
"Amboanana","MDG13105090","MDG13","AmboananaMDG13"
"Ambohimandry","MDG13105230","MDG13","AmbohimandryMDG13"
"Ambohimasina","MDG13105270","MDG13","AmbohimasinaMDG13"
"Ambohipandrano","MDG13105291","MDG13","AmbohipandranoMDG13"
"Ambohitrambo","MDG13105050","MDG13","AmbohitramboMDG13"
"Ampahimanga","MDG13105070","MDG13","AmpahimangaMDG13"
"Amparaky","MDG13113131","MDG13","AmparakyMDG13"
"Amparibohitra","MDG13113072","MDG13","AmparibohitraMDG13"
"Ampary","MDG13113030","MDG13","AmparyMDG13"
"Ampefy","MDG13113090","MDG13","AmpefyMDG13"
"Analavory","MDG13112111","MDG13","AnalavoryMDG13"
"Andolofotsy","MDG13112210","MDG13","AndolofotsyMDG13"
"Ankaranana","MDG13113150","MDG13","AnkarananaMDG13"
"Ankisabe","MDG13113190","MDG13","AnkisabeMDG13"
"Anosibe Ifanja","MDG13112151","MDG13","Anosibe IfanjaMDG13"
"Antambolo","MDG13105250","MDG13","AntamboloMDG13"
"Antanetibe","MDG13113110","MDG13","AntanetibeMDG13"
"Antenimbe","MDG13105212","MDG13","AntenimbeMDG13"
"Antoby Est","MDG13112072","MDG13","Antoby EstMDG13"
"Arivonimamo I","MDG13105010","MDG13","Arivonimamo IMDG13"
"Arivonimamo II","MDG13105030","MDG13","Arivonimamo IIMDG13"
"Dondona","MDG13113012","MDG13","DondonaMDG13"
"Imerintsiatosika","MDG13105130","MDG13","ImerintsiatosikaMDG13"
"Mahatsinjo Est","MDG13105214","MDG13","Mahatsinjo EstMDG13"
"Mahavelona","MDG13113170","MDG13","MahavelonaMDG13"
"Manalalondo","MDG13105211","MDG13","ManalalondoMDG13"
"Mananasy","MDG13113050","MDG13","MananasyMDG13"
"Manazary","MDG13112071","MDG13","ManazaryMDG13"
"Mandiavato","MDG13112130","MDG13","MandiavatoMDG13"
"Marofangady","MDG13105215","MDG13","MarofangadyMDG13"
"Masindray","MDG13113071","MDG13","MasindrayMDG13"
"Miandrandra","MDG13105292","MDG13","MiandrandraMDG13"
"Miantsoarivo","MDG13105310","MDG13","MiantsoarivoMDG13"
"Miarinarivo I","MDG13112010","MDG13","Miarinarivo IMDG13"
"Miarinarivo II","MDG13112030","MDG13","Miarinarivo IIMDG13"
"Morafeno","MDG13105110","MDG13","MorafenoMDG13"
"Morarano","MDG13105150","MDG13","MoraranoMDG13"
"Rambolamasoandro Andranomiely","MDG13105216","MDG13","Rambolamasoandro AndranomielyMDG13"
"Sarobaratra Ifanja","MDG13112152","MDG13","Sarobaratra IfanjaMDG13"
"Soamahamanina","MDG13112090","MDG13","SoamahamaninaMDG13"
"Soavimbazaha","MDG13112190","MDG13","SoavimbazahaMDG13"
"Soavinandriana","MDG13113011","MDG13","SoavinandrianaMDG13"
"Tamponala","MDG13113230","MDG13","TamponalaMDG13"
"Zoma Bealoka","MDG13112170","MDG13","Zoma BealokaMDG13"
"Ambalanirana","MDG14111250","MDG14","AmbalaniranaMDG14"
"Ambararatabe","MDG14111210","MDG14","AmbararatabeMDG14"
"Ambatolampy","MDG14111051","MDG14","AmbatolampyMDG14"
"Ambatomainty Atsimo","MDG14119072","MDG14","Ambatomainty AtsimoMDG14"
"Ambohitromby","MDG14119071","MDG14","AmbohitrombyMDG14"
"Ankadinondry Sakay","MDG14111090","MDG14","Ankadinondry SakayMDG14"
"Ankerana Avaratra","MDG14111110","MDG14","Ankerana AvaratraMDG14"
"Anosy","MDG14111190","MDG14","AnosyMDG14"
"Belobaka","MDG14111230","MDG14","BelobakaMDG14"
"Bemahatazana","MDG14111290","MDG14","BemahatazanaMDG14"
"Bevato","MDG14111070","MDG14","BevatoMDG14"
"Fenoarivo Centre","MDG14119010","MDG14","Fenoarivo CentreMDG14"
"Fierenana","MDG14111310","MDG14","FierenanaMDG14"
"Firavahana","MDG14119031","MDG14","FiravahanaMDG14"
"Kiranomena","MDG14119051","MDG14","KiranomenaMDG14"
"Mahajeby","MDG14119053","MDG14","MahajebyMDG14"
"Mahasolo","MDG14111270","MDG14","MahasoloMDG14"
"Maritampona","MDG14111052","MDG14","MaritamponaMDG14"
"Maroharona","MDG14111330","MDG14","MaroharonaMDG14"
"Miandrarivo","MDG14111130","MDG14","MiandrarivoMDG14"
"Morarano Maritampona","MDG14119032","MDG14","Morarano MaritamponaMDG14"
"Soanierana","MDG14111170","MDG14","SoanieranaMDG14"
"Tsinjoarivo 22","MDG14119052","MDG14","Tsinjoarivo 22MDG14"
"Tsinjoarivo Imanga","MDG14111150","MDG14","Tsinjoarivo ImangaMDG14"
"Tsiroanomandidy Fihaonana","MDG14111030","MDG14","Tsiroanomandidy FihaonanaMDG14"
"Alakamisy Ambohimaha","MDG21220250","MDG21","Alakamisy AmbohimahaMDG21"
"Alakamisy Itenina","MDG21224050","MDG21","Alakamisy IteninaMDG21"
"Alatsinainy Ialamarina","MDG21220350","MDG21","Alatsinainy IalamarinaMDG21"
"Ambalakely","MDG21220030","MDG21","AmbalakelyMDG21"
"Ambalakindresy","MDG21208072","MDG21","AmbalakindresyMDG21"
"Ambalamahasoa","MDG21220210","MDG21","AmbalamahasoaMDG21"
"Ambalamidera II","MDG21225090","MDG21","Ambalamidera IIMDG21"
"Ambalavao","MDG21205010","MDG21","AmbalavaoMDG21"
"Ambatomainty","MDG21219070","MDG21","AmbatomaintyMDG21"
"Ambatosoa","MDG21208190","MDG21","AmbatosoaMDG21"
"Ambinanindovoka","MDG21205190","MDG21","AmbinanindovokaMDG21"
"Ambinaniroa","MDG21205212","MDG21","AmbinaniroaMDG21"
"Ambohimahamasina","MDG21205230","MDG21","AmbohimahamasinaMDG21"
"Ambohimahasoa","MDG21208010","MDG21","AmbohimahasoaMDG21"
"Ambohimandroso","MDG21205071","MDG21","AmbohimandrosoMDG21"
"Ambohinamboarina","MDG21208230","MDG21","AmbohinamboarinaMDG21"
"Ambondrona","MDG21225070","MDG21","AmbondronaMDG21"
"Ampitana","MDG21208030","MDG21","AmpitanaMDG21"
"Andoharanomaitso","MDG21225050","MDG21","AndoharanomaitsoMDG21"
"Andrainjato","MDG21205072","MDG21","AndrainjatoMDG21"
"Andrainjato Avaratra","MDG21201003","MDG21","Andrainjato AvaratraMDG21"
"Andrainjato Centre","MDG21220011","MDG21","Andrainjato CentreMDG21"
"Andrainjato Est","MDG21220012","MDG21","Andrainjato EstMDG21"
"Andrainjato Sud","MDG21201004","MDG21","Andrainjato SudMDG21"
"Andranomiditra","MDG21224230","MDG21","AndranomiditraMDG21"
"Andranovorivato","MDG21224190","MDG21","AndranovorivatoMDG21"
"Androy","MDG21220330","MDG21","AndroyMDG21"
"Anjoma","MDG21205090","MDG21","AnjomaMDG21"
"Anjoma Itsara","MDG21225030","MDG21","Anjoma ItsaraMDG21"
"Ankafina Tsarafidy","MDG21208090","MDG21","Ankafina TsarafidyMDG21"
"Ankaramena","MDG21205211","MDG21","AnkaramenaMDG21"
"Ankarinarivo Manirisoa","MDG21225110","MDG21","Ankarinarivo ManirisoaMDG21"
"Ankaromalaza Mifanasoa","MDG21224110","MDG21","Ankaromalaza MifanasoaMDG21"
"Ankerana","MDG21208050","MDG21","AnkeranaMDG21"
"Befeta","MDG21208270","MDG21","BefetaMDG21"
"Besoa","MDG21205150","MDG21","BesoaMDG21"
"Camp Robin","MDG21208252","MDG21","Camp RobinMDG21"
"Fandrandava","MDG21220430","MDG21","FandrandavaMDG21"
"Fanjakana","MDG21225190","MDG21","FanjakanaMDG21"
"Fenoarivo","MDG21205290","MDG21","FenoarivoMDG21"
"Fiadanana","MDG21208290","MDG21","FiadananaMDG21"
"Fitampito","MDG21219090","MDG21","FitampitoMDG21"
"Ialananindro","MDG21220630","MDG21","IalananindroMDG21"
"Iarintsena","MDG21205050","MDG21","IarintsenaMDG21"
"Iavonomby Vohibola","MDG21225210","MDG21","Iavonomby VohibolaMDG21"
"Ihazoara","MDG21224090","MDG21","IhazoaraMDG21"
"Ikalalao","MDG21208150","MDG21","IkalalaoMDG21"
"Ikalamavony","MDG21219010","MDG21","IkalamavonyMDG21"
"Isaka","MDG21208211","MDG21","IsakaMDG21"
"Isorana","MDG21225010","MDG21","IsoranaMDG21"
"Ivoamba","MDG21220070","MDG21","IvoambaMDG21"
"Kirano","MDG21205110","MDG21","KiranoMDG21"
"Lalazana","MDG21201006","MDG21","LalazanaMDG21"
"Mahaditra","MDG21224270","MDG21","MahaditraMDG21"
"Mahasoabe","MDG21224010","MDG21","MahasoabeMDG21"
"Mahatsinjony","MDG21220111","MDG21","MahatsinjonyMDG21"
"Mahazoarivo","MDG21225170","MDG21","MahazoarivoMDG21"
"Mahazony","MDG21205170","MDG21","MahazonyMDG21"
"Manamisoa","MDG21205030","MDG21","ManamisoaMDG21"
"Manandroy","MDG21208071","MDG21","ManandroyMDG21"
"Maneva","MDG21224150","MDG21","ManevaMDG21"
"Mangidy","MDG21219030","MDG21","MangidyMDG21"
"Manolafaka","MDG21201005","MDG21","ManolafakaMDG21"
"Miarinarivo","MDG21205250","MDG21","MiarinarivoMDG21"
"Morafeno","MDG21208130","MDG21","MorafenoMDG21"
"Nasandratrony","MDG21225150","MDG21","NasandratronyMDG21"
"Sahambavy","MDG21220112","MDG21","SahambavyMDG21"
"Sahatona","MDG21208251","MDG21","SahatonaMDG21"
"Sahave","MDG21208110","MDG21","SahaveMDG21"
"Sendrisoa","MDG21205130","MDG21","SendrisoaMDG21"
"Soaindrana","MDG21224250","MDG21","SoaindranaMDG21"
"Soatanana","MDG21225130","MDG21","SoatananaMDG21"
"Solila","MDG21219050","MDG21","SolilaMDG21"
