"nom","p_code","reg_code",
"Taindambo","MDG21220090","MDG21","TaindamboMDG21"
"Talata Ampano","MDG21224070","MDG21","Talata AmpanoMDG21"
"Tanamarina Bekisopa","MDG21219150","MDG21","Tanamarina BekisopaMDG21"
"Tanamarina Sakay","MDG21219110","MDG21","Tanamarina SakayMDG21"
"Tanana Ambany","MDG21201002","MDG21","Tanana AmbanyMDG21"
"Tanana Ambony","MDG21201001","MDG21","Tanana AmbonyMDG21"
"Tsitondroina","MDG21219130","MDG21","TsitondroinaMDG21"
"Vatosola","MDG21201007","MDG21","VatosolaMDG21"
"Vinanitelo","MDG21224030","MDG21","VinaniteloMDG21"
"Vohibato Ouest","MDG21224210","MDG21","Vohibato OuestMDG21"
"Vohimarina","MDG21224130","MDG21","VohimarinaMDG21"
"Vohiposa","MDG21208170","MDG21","VohiposaMDG21"
"Vohitrafeno","MDG21224170","MDG21","VohitrafenoMDG21"
"Vohitrarivo","MDG21208212","MDG21","VohitrarivoMDG21"
"Vohitsaoka","MDG21205270","MDG21","VohitsaokaMDG21"
"Alakamisy Ambohijato","MDG22203210","MDG22","Alakamisy AmbohijatoMDG22"
"Alakamisy Ambohimahazo","MDG22204210","MDG22","Alakamisy AmbohimahazoMDG22"
"Ambalamanakana","MDG22203250","MDG22","AmbalamanakanaMDG22"
"Ambatofinandrahana","MDG22202010","MDG22","AmbatofinandrahanaMDG22"
"Ambatofitorahana","MDG22203390","MDG22","AmbatofitorahanaMDG22"
"Ambatomarina","MDG22223171","MDG22","AmbatomarinaMDG22"
"Ambatomifanongoa","MDG22202110","MDG22","AmbatomifanongoaMDG22"
"Ambinanindrano","MDG22203551","MDG22","AmbinanindranoMDG22"
"Ambohimahazo","MDG22223030","MDG22","AmbohimahazoMDG22"
"Ambohimilanja","MDG22223070","MDG22","AmbohimilanjaMDG22"
"Ambohimitombo I","MDG22203491","MDG22","Ambohimitombo IMDG22"
"Ambohimitombo II","MDG22203492","MDG22","Ambohimitombo IIMDG22"
"Ambohipo","MDG22223090","MDG22","AmbohipoMDG22"
"Ambondromisotra","MDG22202090","MDG22","AmbondromisotraMDG22"
"Amborompotsy","MDG22202130","MDG22","AmborompotsyMDG22"
"Ambositra I","MDG22203010","MDG22","Ambositra IMDG22"
"Ambositra II","MDG22203030","MDG22","Ambositra IIMDG22"
"Ambovombe Centre","MDG22223010","MDG22","Ambovombe CentreMDG22"
"Andakatany","MDG22223172","MDG22","AndakatanyMDG22"
"Andina","MDG22203090","MDG22","AndinaMDG22"
"Anjoma Nandihizana","MDG22223050","MDG22","Anjoma NandihizanaMDG22"
"Anjoman'ankona","MDG22223110","MDG22","Anjoman'ankonaMDG22"
"Ankarinoro","MDG22204130","MDG22","AnkarinoroMDG22"
"Ankazoambo","MDG22203050","MDG22","AnkazoamboMDG22"
"Antoetra","MDG22203410","MDG22","AntoetraMDG22"
"Betsimisotra","MDG22204192","MDG22","BetsimisotraMDG22"
"Fahizay","MDG22203190","MDG22","FahizayMDG22"
"Fandriana","MDG22204010","MDG22","FandrianaMDG22"
"Fenoarivo","MDG22202050","MDG22","FenoarivoMDG22"
"Fiadanana","MDG22204070","MDG22","FiadananaMDG22"
"Ihadilanana","MDG22203310","MDG22","IhadilananaMDG22"
"Ilaka Centre","MDG22203290","MDG22","Ilaka CentreMDG22"
"Imerina Imady","MDG22203110","MDG22","Imerina ImadyMDG22"
"Imito","MDG22204230","MDG22","ImitoMDG22"
"Itremo","MDG22202030","MDG22","ItremoMDG22"
"Ivato","MDG22203130","MDG22","IvatoMDG22"
"Ivony Miaramiasa","MDG22203070","MDG22","Ivony MiaramiasaMDG22"
"Kianjandrakefina","MDG22203230","MDG22","KianjandrakefinaMDG22"
"Mahazina Ambohipierenana","MDG22203430","MDG22","Mahazina AmbohipierenanaMDG22"
"Mahazoarivo","MDG22204170","MDG22","MahazoarivoMDG22"
"Mandrosonoro","MDG22202150","MDG22","MandrosonoroMDG22"
"Mangataboahangy","MDG22202170","MDG22","MangataboahangyMDG22"
"Marosoa","MDG22203170","MDG22","MarosoaMDG22"
"Miarinavaratra","MDG22204191","MDG22","MiarinavaratraMDG22"
"Milamaina","MDG22204030","MDG22","MilamainaMDG22"
"Sahamadio Fisakana","MDG22204050","MDG22","Sahamadio FisakanaMDG22"
"Sahatsiho Ambohimanjaka","MDG22203450","MDG22","Sahatsiho AmbohimanjakaMDG22"
"Sandrandahy","MDG22204150","MDG22","SandrandahyMDG22"
"Soavina","MDG22202070","MDG22","SoavinaMDG22"
"Talata Vohimena","MDG22223150","MDG22","Talata VohimenaMDG22"
"Tatamalaza","MDG22204110","MDG22","TatamalazaMDG22"
"Tsarasaotra","MDG22203150","MDG22","TsarasaotraMDG22"
"Tsarazaza","MDG22204090","MDG22","TsarazazaMDG22"
"Vinany Andakatanikely","MDG22223130","MDG22","Vinany AndakatanikelyMDG22"
"Vohidahy","MDG22203552","MDG22","VohidahyMDG22"
"Ambahatrazo","MDG23210153","MDG23","AmbahatrazoMDG23"
"Ambahive","MDG23210231","MDG23","AmbahiveMDG23"
"Ambahy","MDG23207031","MDG23","AmbahyMDG23"
"Ambakobe","MDG23207113","MDG23","AmbakobeMDG23"
"Ambalahosy Nord","MDG23209370","MDG23","Ambalahosy NordMDG23"
"Ambalaroka","MDG23210233","MDG23","AmbalarokaMDG23"
"Ambalavero","MDG23210410","MDG23","AmbalaveroMDG23"
"Ambandrika","MDG23210232","MDG23","AmbandrikaMDG23"
"Ambatofotsy","MDG23211031","MDG23","AmbatofotsyMDG23"
"Ambila","MDG23210070","MDG23","AmbilaMDG23"
"Ambinanitromby","MDG23211052","MDG23","AmbinanitrombyMDG23"
"Amboanjo","MDG23210171","MDG23","AmboanjoMDG23"
"Ambodiara","MDG23207192","MDG23","AmbodiaraMDG23"
"Ambodilafa","MDG23207151","MDG23","AmbodilafaMDG23"
"Ambodinonoka","MDG23209391","MDG23","AmbodinonokaMDG23"
"Ambodirian'i Sahafary","MDG23207052","MDG23","Ambodirian'i SahafaryMDG23"
"Ambohimanga Du Sud","MDG23206130","MDG23","Ambohimanga Du SudMDG23"
"Ambohimiarina II","MDG23209190","MDG23","Ambohimiarina IIMDG23"
"Ambohimiera","MDG23206090","MDG23","AmbohimieraMDG23"
"Ambohimisafy","MDG23211092","MDG23","AmbohimisafyMDG23"
"Ambohinihaonana","MDG23209310","MDG23","AmbohinihaonanaMDG23"
"Ambohitsara Est","MDG23209252","MDG23","Ambohitsara EstMDG23"
"Ambohitsara M","MDG23210130","MDG23","Ambohitsara MMDG23"
"Ambolomadinika","MDG23211012","MDG23","AmbolomadinikaMDG23"
"Amborondra","MDG23210430","MDG23","AmborondraMDG23"
"Ambotaka","MDG23210312","MDG23","AmbotakaMDG23"
"Ampasimanjeva","MDG23210311","MDG23","AmpasimanjevaMDG23"
"Ampasimboraka","MDG23210532","MDG23","AmpasimborakaMDG23"
"Ampasimpotsy Sud","MDG23210490","MDG23","Ampasimpotsy SudMDG23"
"Ampasinambo","MDG23207171","MDG23","AmpasinamboMDG23"
"Analampasina","MDG23206150","MDG23","AnalampasinaMDG23"
"Analavory","MDG23210272","MDG23","AnalavoryMDG23"
"Andara","MDG23207032","MDG23","AndaraMDG23"
"Andemaka","MDG23212190","MDG23","AndemakaMDG23"
"Andonabe","MDG23209290","MDG23","AndonabeMDG23"
"Andranambolava","MDG23209210","MDG23","AndranambolavaMDG23"
"Andranomavo","MDG23209332","MDG23","AndranomavoMDG23"
"Androrangavola","MDG23206071","MDG23","AndrorangavolaMDG23"
"Androrangavola","MDG23207152","MDG23","AndrorangavolaMDG23"
"Angodongodona","MDG23207173","MDG23","AngodongodonaMDG23"
"Ankarimbary","MDG23212090","MDG23","AnkarimbaryMDG23"
"Ankarimbelo","MDG23211111","MDG23","AnkarimbeloMDG23"
"Ankatafana","MDG23209032","MDG23","AnkatafanaMDG23"
"Anoloka","MDG23212053","MDG23","AnolokaMDG23"
"Anorombato","MDG23210172","MDG23","AnorombatoMDG23"
"Anosiala","MDG23210052","MDG23","AnosialaMDG23"
"Anosimparihy","MDG23209450","MDG23","AnosimparihyMDG23"
"Antanambao","MDG23207172","MDG23","AntanambaoMDG23"
"Antananabo","MDG23212212","MDG23","AntananaboMDG23"
"Antaretra","MDG23206012","MDG23","AntaretraMDG23"
"Antaretra","MDG23209392","MDG23","AntaretraMDG23"
"Anteza","MDG23210510","MDG23","AntezaMDG23"
"Antodinga","MDG23211112","MDG23","AntodingaMDG23"
"Antsenavolo","MDG23209150","MDG23","AntsenavoloMDG23"
"Antsindra","MDG23206110","MDG23","AntsindraMDG23"
"Befody","MDG23207191","MDG23","BefodyMDG23"
"Bekatra","MDG23210291","MDG23","BekatraMDG23"
"Belemoka","MDG23211032","MDG23","BelemokaMDG23"
"Betampona","MDG23210353","MDG23","BetamponaMDG23"
"Fasintsara","MDG23206170","MDG23","FasintsaraMDG23"
"Fenomby","MDG23210390","MDG23","FenombyMDG23"
"Fiadanana","MDG23207051","MDG23","FiadananaMDG23"
"Ifanadiana","MDG23206011","MDG23","IfanadianaMDG23"
"Ifanirea","MDG23211071","MDG23","IfanireaMDG23"
"Ifatsy","MDG23212211","MDG23","IfatsyMDG23"
"Ikongo","MDG23211011","MDG23","IkongoMDG23"
"Ilakatra","MDG23212230","MDG23","IlakatraMDG23"
"Ivato","MDG23212051","MDG23","IvatoMDG23"
"Kalafotsy","MDG23211113","MDG23","KalafotsyMDG23"
"Kelilalina","MDG23206052","MDG23","KelilalinaMDG23"
"Kianjanomby","MDG23210472","MDG23","KianjanombyMDG23"
"Kianjavato","MDG23209410","MDG23","KianjavatoMDG23"
"Lanivo","MDG23212110","MDG23","LanivoMDG23"
"Lokomby","MDG23210211","MDG23","LokombyMDG23"
"Mahabako","MDG23210451","MDG23","MahabakoMDG23"
"Mahabo","MDG23212070","MDG23","MahaboMDG23"
"Mahamaibe","MDG23210471","MDG23","MahamaibeMDG23"
"Mahasoabe","MDG23212150","MDG23","MahasoabeMDG23"
"Mahatsara Iefaka","MDG23209090","MDG23","Mahatsara IefakaMDG23"
"Mahatsara Sud","MDG23209050","MDG23","Mahatsara SudMDG23"
"Mahavoky Nord","MDG23209270","MDG23","Mahavoky NordMDG23"
"Mahazoarivo","MDG23212270","MDG23","MahazoarivoMDG23"
"Mahela","MDG23209251","MDG23","MahelaMDG23"
"Manakana Nord","MDG23209470","MDG23","Manakana NordMDG23"
"Manakara","MDG23210010","MDG23","ManakaraMDG23"
"Manampatrana","MDG23211051","MDG23","ManampatranaMDG23"
"Mananjary","MDG23209010","MDG23","MananjaryMDG23"
"Mangatsiotra","MDG23210032","MDG23","MangatsiotraMDG23"
"Marofarihy","MDG23210051","MDG23","MarofarihyMDG23"
"Marofototra","MDG23209331","MDG23","MarofototraMDG23"
"Maroharatra","MDG23206190","MDG23","MaroharatraMDG23"
"Marokarima","MDG23209110","MDG23","MarokarimaMDG23"
"Maromiandra","MDG23211033","MDG23","MaromiandraMDG23"
"Marosangy","MDG23209170","MDG23","MarosangyMDG23"
"Marotoko","MDG23206072","MDG23","MarotokoMDG23"
"Mavorano","MDG23210330","MDG23","MavoranoMDG23"
"Mitanty","MDG23210271","MDG23","MitantyMDG23"
"Mizilo Gara","MDG23210110","MDG23","Mizilo GaraMDG23"
"Morafeno","MDG23209130","MDG23","MorafenoMDG23"
"Namorona","MDG23209490","MDG23","NamoronaMDG23"
"Nato","MDG23212130","MDG23","NatoMDG23"
"Nihaonana","MDG23210313","MDG23","NihaonanaMDG23"
"Nosy Varika","MDG23207010","MDG23","Nosy VarikaMDG23"
"Onilahy","MDG23210452","MDG23","OnilahyMDG23"
"Onjatsy","MDG23212171","MDG23","OnjatsyMDG23"
"Ranomafana","MDG23206051","MDG23","RanomafanaMDG23"
"Sahalanona","MDG23211073","MDG23","SahalanonaMDG23"
"Sahalava","MDG23212250","MDG23","SahalavaMDG23"
"Sahanambohitra","MDG23210152","MDG23","SahanambohitraMDG23"
"Saharefo","MDG23210531","MDG23","SaharefoMDG23"
"Sahasinaka","MDG23210151","MDG23","SahasinakaMDG23"
"Sahavato","MDG23207070","MDG23","SahavatoMDG23"
"Sakoana","MDG23210213","MDG23","SakoanaMDG23"
"Sandrohy","MDG23209430","MDG23","SandrohyMDG23"
"Savana","MDG23212052","MDG23","SavanaMDG23"
"Soavina","MDG23207130","MDG23","SoavinaMDG23"
"Sorombo","MDG23210090","MDG23","SoromboMDG23"
"Tanakambana","MDG23211072","MDG23","TanakambanaMDG23"
"Tataho","MDG23210031","MDG23","TatahoMDG23"
"Tolongoina","MDG23211091","MDG23","TolongoinaMDG23"
"Tsaratanana","MDG23206030","MDG23","TsaratananaMDG23"
"Tsaravary","MDG23209031","MDG23","TsaravaryMDG23"
"Tsiatosika","MDG23209070","MDG23","TsiatosikaMDG23"
"Vatana","MDG23210212","MDG23","VatanaMDG23"
"Vatohandrina","MDG23209350","MDG23","VatohandrinaMDG23"
"Vinanitelo","MDG23210292","MDG23","VinaniteloMDG23"
"Vohidroa","MDG23207112","MDG23","VohidroaMDG23"
"Vohilany","MDG23212172","MDG23","VohilanyMDG23"
"Vohilava","MDG23207090","MDG23","VohilavaMDG23"
"Vohilava","MDG23209230","MDG23","VohilavaMDG23"
"Vohilava","MDG23210370","MDG23","VohilavaMDG23"
"Vohimanitra","MDG23210250","MDG23","VohimanitraMDG23"
"Vohimasina Nord","MDG23210351","MDG23","Vohimasina NordMDG23"
"Vohimasina Sud","MDG23210352","MDG23","Vohimasina SudMDG23"
"Vohimasy","MDG23210190","MDG23","VohimasyMDG23"
"Vohindava","MDG23212032","MDG23","VohindavaMDG23"
"Vohipeno","MDG23212010","MDG23","VohipenoMDG23"
"Vohitrandriana","MDG23207111","MDG23","VohitrandrianaMDG23"
"Vohitrindry","MDG23212031","MDG23","VohitrindryMDG23"
"Ambatolahy","MDG24216131","MDG24","AmbatolahyMDG24"
"Ambia","MDG24216032","MDG24","AmbiaMDG24"
"Analaliry","MDG24216090","MDG24","AnalaliryMDG24"
"Analavoka","MDG24216210","MDG24","AnalavokaMDG24"
"Andiolava","MDG24216192","MDG24","AndiolavaMDG24"
"Ankily","MDG24216031","MDG24","AnkilyMDG24"
"Antambohobe","MDG24218030","MDG24","AntambohobeMDG24"
"Antsoha","MDG24216152","MDG24","AntsohaMDG24"
"Begogo","MDG24221050","MDG24","BegogoMDG24"
"Iakora","MDG24221010","MDG24","IakoraMDG24"
"Ihosy","MDG24216010","MDG24","IhosyMDG24"
"Ilakaka","MDG24216232","MDG24","IlakakaMDG24"
"Irina","MDG24216050","MDG24","IrinaMDG24"
"Ivohibe","MDG24218010","MDG24","IvohibeMDG24"
"Ivongo","MDG24218070","MDG24","IvongoMDG24"
"Mahasoa","MDG24216110","MDG24","MahasoaMDG24"
"Maropaika","MDG24218050","MDG24","MaropaikaMDG24"
"Menamaty Iloto","MDG24216250","MDG24","Menamaty IlotoMDG24"
"Ranohira","MDG24216231","MDG24","RanohiraMDG24"
"Ranotsara Nord","MDG24221030","MDG24","Ranotsara NordMDG24"
"Sahambano","MDG24216070","MDG24","SahambanoMDG24"
"Sakalalina","MDG24216170","MDG24","SakalalinaMDG24"
"Satrokala","MDG24216191","MDG24","SatrokalaMDG24"
"Soamatasy","MDG24216132","MDG24","SoamatasyMDG24"
"Tolohomiady","MDG24216033","MDG24","TolohomiadyMDG24"
"Zazafotsy","MDG24216151","MDG24","ZazafotsyMDG24"
"Ambalatany","MDG25213471","MDG25","AmbalatanyMDG25"
"Ambalavato Antevato","MDG25213552","MDG25","Ambalavato AntevatoMDG25"
"Ambalavato Nord","MDG25213410","MDG25","Ambalavato NordMDG25"
"Ambatolava","MDG25214212","MDG25","AmbatolavaMDG25"
"Ambohigogo","MDG25213270","MDG25","AmbohigogoMDG25"
"Ambohimana","MDG25217090","MDG25","AmbohimanaMDG25"
"Ambohimandroso","MDG25213330","MDG25","AmbohimandrosoMDG25"
"Ambongo","MDG25214211","MDG25","AmbongoMDG25"
"Amparihy Est","MDG25214331","MDG25","Amparihy EstMDG25"
"Ampasimalemy","MDG25214031","MDG25","AmpasimalemyMDG25"
"Ampataka","MDG25214132","MDG25","AmpatakaMDG25"
"Amporoforo","MDG25213190","MDG25","AmporoforoMDG25"
"Anandravy","MDG25217013","MDG25","AnandravyMDG25"
"Andakana","MDG25217170","MDG25","AndakanaMDG25"
"Andranolalina","MDG25215031","MDG25","AndranolalinaMDG25"
"Anilobe","MDG25214112","MDG25","AnilobeMDG25"
"Ankarana Miraihina","MDG25213350","MDG25","Ankarana MiraihinaMDG25"
"Ankazovelo","MDG25215012","MDG25","AnkazoveloMDG25"
"Anosivelo","MDG25213050","MDG25","AnosiveloMDG25"
"Anosy Tsararafa","MDG25213070","MDG25","Anosy TsararafaMDG25"
"Antaninarenina","MDG25222032","MDG25","AntaninareninaMDG25"
"Antokonala","MDG25217072","MDG25","AntokonalaMDG25"
"Antondabe","MDG25222012","MDG25","AntondabeMDG25"
"Antseranambe","MDG25213530","MDG25","AntseranambeMDG25"
"Befotaka Sud","MDG25222011","MDG25","Befotaka SudMDG25"
"Beharena","MDG25222052","MDG25","BeharenaMDG25"
"Bekaraoky","MDG25214033","MDG25","BekaraokyMDG25"
"Bekofafa Sud","MDG25222053","MDG25","Bekofafa SudMDG25"
"Bema","MDG25214092","MDG25","BemaMDG25"
"Beretra Bevoay","MDG25213250","MDG25","Beretra BevoayMDG25"
"Bevata","MDG25214251","MDG25","BevataMDG25"
"Efatsy","MDG25213430","MDG25","EfatsyMDG25"
"Etrotroka Atsimo","MDG25213390","MDG25","Etrotroka AtsimoMDG25"
"Evato","MDG25213370","MDG25","EvatoMDG25"
"Farafangana","MDG25213010","MDG25","FarafanganaMDG25"
"Fenoambany","MDG25214290","MDG25","FenoambanyMDG25"
"Fenoarivo","MDG25213510","MDG25","FenoarivoMDG25"
"Iabohazo","MDG25213210","MDG25","IabohazoMDG25"
"Iamonta","MDG25217052","MDG25","IamontaMDG25"
"Iara","MDG25214230","MDG25","IaraMDG25"
"Ihorombe","MDG25213551","MDG25","IhorombeMDG25"
"Isahara","MDG25214311","MDG25","IsaharaMDG25"
"Ivandrika","MDG25213110","MDG25","IvandrikaMDG25"
"Ivato","MDG25217130","MDG25","IvatoMDG25"
"Ivondro","MDG25215051","MDG25","IvondroMDG25"
"Karianga","MDG25217111","MDG25","KariangaMDG25"
"Karimbary","MDG25214252","MDG25","KarimbaryMDG25"
"Lohafary","MDG25214131","MDG25","LohafaryMDG25"
"Lopary","MDG25214091","MDG25","LoparyMDG25"
"Mahabo Mananivo","MDG25213310","MDG25","Mahabo MananivoMDG25"
"Mahafasa Centre","MDG25213170","MDG25","Mahafasa CentreMDG25"
"Mahatsinjo","MDG25217030","MDG25","MahatsinjoMDG25"
"Mahavelo","MDG25213150","MDG25","MahaveloMDG25"
"Mahavelo","MDG25217150","MDG25","MahaveloMDG25"
"Mahazoarivo","MDG25217051","MDG25","MahazoarivoMDG25"
"Maheriraty","MDG25213290","MDG25","MaheriratyMDG25"
"Maliorano","MDG25215032","MDG25","MalioranoMDG25"
"Manambidala","MDG25217012","MDG25","ManambidalaMDG25"
"Manambondro","MDG25214270","MDG25","ManambondroMDG25"
"Manambotra Atsimo","MDG25213130","MDG25","Manambotra AtsimoMDG25"
"Manato","MDG25217112","MDG25","ManatoMDG25"
"Marokibo","MDG25214172","MDG25","MarokiboMDG25"
"Marovandrika","MDG25213590","MDG25","MarovandrikaMDG25"
"Marovitsika Sud","MDG25222031","MDG25","Marovitsika SudMDG25"
"Masianaka","MDG25214152","MDG25","MasianakaMDG25"
"Matanga","MDG25214151","MDG25","MatangaMDG25"
"Moroteza","MDG25217191","MDG25","MorotezaMDG25"
"Namohora Iaborano","MDG25213472","MDG25","Namohora IaboranoMDG25"
"Nosifeno","MDG25215011","MDG25","NosifenoMDG25"
"Ranomena","MDG25214190","MDG25","RanomenaMDG25"
"Ranotsara Sud","MDG25222051","MDG25","Ranotsara SudMDG25"
"Sahamadio","MDG25213490","MDG25","SahamadioMDG25"
"Sandravinany","MDG25214332","MDG25","SandravinanyMDG25"
"Soakibany","MDG25215052","MDG25","SoakibanyMDG25"
"Soamanova","MDG25214070","MDG25","SoamanovaMDG25"
"Tangainony","MDG25213230","MDG25","TangainonyMDG25"
"Tovona","MDG25213450","MDG25","TovonaMDG25"
"Tsianofana","MDG25214032","MDG25","TsianofanaMDG25"
"Tsiately","MDG25214050","MDG25","TsiatelyMDG25"
"Vangaindrano","MDG25214010","MDG25","VangaindranoMDG25"
"Vatanato","MDG25214313","MDG25","VatanatoMDG25"
"Vohiboreka","MDG25217192","MDG25","VohiborekaMDG25"
"Vohilengo","MDG25213570","MDG25","VohilengoMDG25"
"Vohimalaza","MDG25214312","MDG25","VohimalazaMDG25"
"Vohimary","MDG25217071","MDG25","VohimaryMDG25"
"Vohimasy","MDG25213030","MDG25","VohimasyMDG25"
"Vohipaho","MDG25214171","MDG25","VohipahoMDG25"
"Vohitrambo","MDG25214111","MDG25","VohitramboMDG25"
"Vohitromby","MDG25213090","MDG25","VohitrombyMDG25"
"Vondrozo","MDG25217011","MDG25","VondrozoMDG25"
"Ambalabe","MDG31307230","MDG31","AmbalabeMDG31"
"Ambalapaiso II","MDG31309071","MDG31","Ambalapaiso IIMDG31"
"Ambalarondra","MDG31306210","MDG31","AmbalarondraMDG31"
"Ambalavolo","MDG31307110","MDG31","AmbalavoloMDG31"
"Ambatofisaka II","MDG31309110","MDG31","Ambatofisaka IIMDG31"
"Ambinanidilana","MDG31308110","MDG31","AmbinanidilanaMDG31"
"Ambinanindrano","MDG31308170","MDG31","AmbinanindranoMDG31"
"Ambinaninony","MDG31306110","MDG31","AmbinaninonyMDG31"
"Amboasary","MDG31309150","MDG31","AmboasaryMDG31"
"Ambodibonara","MDG31308130","MDG31","AmbodibonaraMDG31"
"Ambodiharina","MDG31308050","MDG31","AmbodiharinaMDG31"
"Ambodilazana","MDG31310150","MDG31","AmbodilazanaMDG31"
"Ambodimanga","MDG31301001","MDG31","AmbodimangaMDG31"
"Ambodinonoka","MDG31309191","MDG31","AmbodinonokaMDG31"
"Ambodiriana","MDG31310070","MDG31","AmbodirianaMDG31"
"Amboditandroroho","MDG31310092","MDG31","AmboditandrorohoMDG31"
"Amboditavolo","MDG31307131","MDG31","AmboditavoloMDG31"
"Ambodivoananto","MDG31307030","MDG31","AmbodivoanantoMDG31"
"Ambodivoangy","MDG31309072","MDG31","AmbodivoangyMDG31"
"Ambohimanana","MDG31306270","MDG31","AmbohimananaMDG31"
"Ambohimilanja","MDG31309090","MDG31","AmbohimilanjaMDG31"
"Ampasimadinika","MDG31307190","MDG31","AmpasimadinikaMDG31"
"Ampasimadinika Manambolo","MDG31310091","MDG31","Ampasimadinika ManamboloMDG31"
"Ampasimazava","MDG31307172","MDG31","AmpasimazavaMDG31"
"Ampasimbe","MDG31306172","MDG31","AmpasimbeMDG31"
"Ampasimbe Onibe","MDG31310170","MDG31","Ampasimbe OnibeMDG31"
"Ampisokina","MDG31310212","MDG31","AmpisokinaMDG31"
"Amporoforo","MDG31310192","MDG31","AmporoforoMDG31"
"Andekaleka","MDG31306252","MDG31","AndekalekaMDG31"
"Andonabe Sud","MDG31309050","MDG31","Andonabe SudMDG31"
"Andondabe","MDG31310211","MDG31","AndondabeMDG31"
"Andovoranto","MDG31306090","MDG31","AndovorantoMDG31"
"Andranobolaha","MDG31310230","MDG31","AndranobolahaMDG31"
"Androrangavola","MDG31309131","MDG31","AndrorangavolaMDG31"
"Anivorano Est","MDG31306050","MDG31","Anivorano EstMDG31"
"Anjahamana","MDG31306290","MDG31","AnjahamanaMDG31"
"Anjoma","MDG31301002","MDG31","AnjomaMDG31"
"Ankazotsifantatra","MDG31308150","MDG31","AnkazotsifantatraMDG31"
"Ankirihiry","MDG31301005","MDG31","AnkirihiryMDG31"
"Anosiarivo I","MDG31309132","MDG31","Anosiarivo IMDG31"
"Antanambao Mahatsara","MDG31307091","MDG31","Antanambao MahatsaraMDG31"
"Antanambao Manampontsy","MDG31311010","MDG31","Antanambao ManampontsyMDG31"
"Antanandehibe","MDG31311070","MDG31","AntanandehibeMDG31"
"Antenina","MDG31310193","MDG31","AnteninaMDG31"
"Antetezambaro","MDG31310030","MDG31","AntetezambaroMDG31"
"Befotaka","MDG31308190","MDG31","BefotakaMDG31"
"Betampona","MDG31309031","MDG31","BetamponaMDG31"
"Betsizaraina","MDG31308012","MDG31","BetsizarainaMDG31"
"Brickaville","MDG31306010","MDG31","BrickavilleMDG31"
"Fanandrana","MDG31310050","MDG31","FanandranaMDG31"
"Fanasana","MDG31306190","MDG31","FanasanaMDG31"
"Fetraomby","MDG31306130","MDG31","FetraombyMDG31"
"Fito","MDG31310250","MDG31","FitoMDG31"
"Iamborano","MDG31307092","MDG31","IamboranoMDG31"
"Ifasina I","MDG31307210","MDG31","Ifasina IMDG31"
"Ifasina II","MDG31307250","MDG31","Ifasina IIMDG31"
"Ilaka Est","MDG31307151","MDG31","Ilaka EstMDG31"
"Lohariandava","MDG31306251","MDG31","LohariandavaMDG31"
"Lohavanana","MDG31309170","MDG31","LohavananaMDG31"
"Mahanoro","MDG31308011","MDG31","MahanoroMDG31"
"Mahatsara","MDG31306070","MDG31","MahatsaraMDG31"
"Mahavelona (Foulpointe)","MDG31310110","MDG31","Mahavelona (Foulpointe)MDG31"
"Mahela","MDG31311030","MDG31","MahelaMDG31"
"Maintinandry","MDG31307051","MDG31","MaintinandryMDG31"
"Manakana","MDG31311090","MDG31","ManakanaMDG31"
"Mangabe","MDG31310191","MDG31","MangabeMDG31"
"Manjakandriana","MDG31308070","MDG31","ManjakandrianaMDG31"
"Marolambo","MDG31309010","MDG31","MarolamboMDG31"
"Maroseranana","MDG31306230","MDG31","MaroserananaMDG31"
"Masomeloka","MDG31308090","MDG31","MasomelokaMDG31"
"Morarano","MDG31301003","MDG31","MoraranoMDG31"
"Niarovana Caroline","MDG31307152","MDG31","Niarovana CarolineMDG31"
"Niherenana","MDG31307132","MDG31","NiherenanaMDG31"
"Ranomafana Est","MDG31306171","MDG31","Ranomafana EstMDG31"
"Sahakevo","MDG31309192","MDG31","SahakevoMDG31"
"Sahamatevina","MDG31307070","MDG31","SahamatevinaMDG31"
